section_code,section_number,title,description,category,punishment,source
BNSS-287,287,Judgment in cases tried summarily,Section 287: Judgment in cases tried summarily,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=287&orderno=
BNS-288,288,Negligent conduct with respect to explosive substance,Section 288: Negligent conduct with respect to explosive substance,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=288&orderno=
BNSS-288,288,Language of record and judgment,Section 288: Language of record and judgment,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=288&orderno=
BNS-289,289,Negligent conduct with respect to machinery,Section 289: Negligent conduct with respect to machinery,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=289&orderno=
BNSS-289,289,Application of Chapter,Section 289: Application of Chapter,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=289&orderno=
BNS-29,29,Exclusion of acts which are offences independently of harm caused,Section 29: Exclusion of acts which are offences independently of harm caused,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=29&orderno=
BNSS-29,29,Powers of Judges and Magistrates exercisable by their successors-in-office,Section 29: Powers of Judges and Magistrates exercisable by their successors-in-office,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=29&orderno=
EVIDENCE-29,29,Relevancy of entry in public record or an electronic record made in performance of duty,Section 29: Relevancy of entry in public record or an electronic record made in performance of duty,General Exceptions,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00039_202312_1704179581370&sectionId=&sectionno=29&orderno=
BNS-290,290,"Negligent conduct with respect to pulling down, repairing or constructing buildings, etc","Section 290: Negligent conduct with respect to pulling down, repairing or constructing buildings, etc",Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=290&orderno=
BNSS-290,290,Application for plea bargaining,Section 290: Application for plea bargaining,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=290&orderno=
BNS-291,291,Negligent conduct with respect to animal,Section 291: Negligent conduct with respect to animal,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=291&orderno=
BNSS-291,291,Guidelines for mutually satisfactory disposition,Section 291: Guidelines for mutually satisfactory disposition,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=291&orderno=
BNS-292,292,Punishment for public nuisance in cases not otherwise provided for,Section 292: Punishment for public nuisance in cases not otherwise provided for,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=292&orderno=
BNSS-292,292,Report of mutually satisfactory disposition to be submitted before Court,Section 292: Report of mutually satisfactory disposition to be submitted before Court,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=292&orderno=
BNS-293,293,Continuance of nuisance after injunction to discontinue,Section 293: Continuance of nuisance after injunction to discontinue,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=293&orderno=
BNSS-293,293,Disposal of case,Section 293: Disposal of case,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=293&orderno=
BNS-294,294,"Sale, etc","Section 294: Sale, etc",Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=294&orderno=
BNSS-294,294,Judgment of Court,Section 294: Judgment of Court,Of Offences Relating to Religion,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=294&orderno=
BNS-295,295,"Sale, etc","Section 295: Sale, etc",Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00037_202312_1704179233074&sectionId=&sectionno=295&orderno=
BNSS-295,295,Finality of judgment,Section 295: Finality of judgment,Of Offences Affecting the Human Body,As per statute,https://www.indiacode.nic.in/show-data?actid=AC_CEN_5_6_00038_202312_1704179355834&sectionId=&sectionno=295&orderno=
